,Source,Source type,Term (months),Interest Rate,Amount of Funds,PDF_Filename,Financing Type,Residual Receipts/Deferred Pymt.,Annual Debt Service,Sourcing Type,Application Number,Unnamed: 1,Type of tax credit funding_x,Project Name_x,Project Address,Project City_x,Project Zip Code_x,Project Phone Number,Project County_x,California Assembly District,California Senate District,Federal Congressional District,Census Tract,Assessor's Parcel Number (APN),Application Stage,Placed in Service (PIS) Date ,Last Building PIS Date,Construction Type_x,Housing Type_x,Total Units_x,Low Income Units,Number of SRO/Studio Units,Number of 1 Bedroom Units,Number of 2 Bedroom Units,Number of 3 Bedroom Units,Number of 4 Bedroom Units,Number of 5 Bedroom Units,Number of 6 Bedroom Units,Units at or below 20% AMI,Units at or below 30% AMI,Units at 35% AMI,Units at 40% AMI,Units at 45% AMI,Units at 50% AMI,Units at 55% AMI,Units at 60% AMI,Units at 70% AMI,Units at 80% AMI,Owner or Applicant Name,Owner/Applicant Contact,Owner/Applicant Address,Owner/Applicant City,Owner/Applicant State,Owner/Applicant Zip,Owner/Applicant Phone,Owner/Applicant Fax,General Partner (1),General Partner (2),General Partner (3),General Partner (4),General Partner (5),Management Company,Management Company Contact,Management Company Address,Management Company City,Management Company State,Management Company Zip,Management Company Phone,Management Company Fax,Developer,Annual Federal Award_x,Total State Award_x,Housing Type_y,Total Units_y,Type of tax credit funding_y,Project Name_y,Project City_y,Project Zip Code_y,Project County_y,Collapsed Construction Type,Construction Type_y,Annual Federal Award_y,Total State Award_y,Total Costs,Land and Acquisition,Construction Costs,Rehabilitation Costs,Construction Contigency,Hard Cost Contingency ,Soft Cost Contingency ,Relocation,Arch/Engineering,CIPF,Legal Fees,Reserves,Other Costs,Developer Fee,Commercial Costs,Construction Cost per Square Foot,Per Unit Cost,True Cash per Unit Cost,#ofPermFinancing Sources,Federal Tax Credit Factor
0,Union Bank Construction Loan,Bank Loan,24,4.80%,"$20,301,005 ",19-005,Construction Financing,,,Bank Loan,CA-2019-005,,0.09,Vista Ballona,"3960 South Grand View Boulevard, Los Angeles, CA 90066",Los Angeles,90066,,Los Angeles,54.0,30.0,37.0,2723.02,4235026016,Preliminary Reservation,,,New Construction,Large Family,50.0,49.0,0.0,25.0,12.0,13.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,5.0,0.0,26.0,0.0,2.0,Community Corporation of Santa Monica,Victor A. Ansley,"1423 2nd Street, Suite B",Santa Monica,"CA 
",90401.0,3103948487,,Community Corporation of Santa Monica,,,,,COMMUNITY CORPORATION OF SANTA MONICA,Durinda Abraham,"1423 2nd Street, Suite B",Santa Monica,CA,90401,3103948487,,"Community Corporation Of Santa Monica
",2500000.0,,Large Family,50,0.09,Vista Ballona,Los Angeles,90066,Los Angeles,New Construction,New Construction,2500000.0,,33784836,6467545.0,19239873.0,0.0,1745343.0,,,0.0,1286551,1419762,125000.0,695174,871322,1934266,0.0,439,675697,667355.0,5,0.9978
1,Los Angeles Housing and Community Inve,,504,4.00%,"$3,982,669 ",19-005,Construction Financing,,,Local Grant,CA-2019-005,,0.09,Vista Ballona,"3960 South Grand View Boulevard, Los Angeles, CA 90066",Los Angeles,90066,,Los Angeles,54.0,30.0,37.0,2723.02,4235026016,Preliminary Reservation,,,New Construction,Large Family,50.0,49.0,0.0,25.0,12.0,13.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,5.0,0.0,26.0,0.0,2.0,Community Corporation of Santa Monica,Victor A. Ansley,"1423 2nd Street, Suite B",Santa Monica,"CA 
",90401.0,3103948487,,Community Corporation of Santa Monica,,,,,COMMUNITY CORPORATION OF SANTA MONICA,Durinda Abraham,"1423 2nd Street, Suite B",Santa Monica,CA,90401,3103948487,,"Community Corporation Of Santa Monica
",2500000.0,,Large Family,50,0.09,Vista Ballona,Los Angeles,90066,Los Angeles,New Construction,New Construction,2500000.0,,33784836,6467545.0,19239873.0,0.0,1745343.0,,,0.0,1286551,1419762,125000.0,695174,871322,1934266,0.0,439,675697,667355.0,5,0.9978
2,9% Tax Credit Equity,,,,"$6,248,750 ",19-005,Construction Financing,,,Federal Credit,CA-2019-005,,0.09,Vista Ballona,"3960 South Grand View Boulevard, Los Angeles, CA 90066",Los Angeles,90066,,Los Angeles,54.0,30.0,37.0,2723.02,4235026016,Preliminary Reservation,,,New Construction,Large Family,50.0,49.0,0.0,25.0,12.0,13.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,5.0,0.0,26.0,0.0,2.0,Community Corporation of Santa Monica,Victor A. Ansley,"1423 2nd Street, Suite B",Santa Monica,"CA 
",90401.0,3103948487,,Community Corporation of Santa Monica,,,,,COMMUNITY CORPORATION OF SANTA MONICA,Durinda Abraham,"1423 2nd Street, Suite B",Santa Monica,CA,90401,3103948487,,"Community Corporation Of Santa Monica
",2500000.0,,Large Family,50,0.09,Vista Ballona,Los Angeles,90066,Los Angeles,New Construction,New Construction,2500000.0,,33784836,6467545.0,19239873.0,0.0,1745343.0,,,0.0,1286551,1419762,125000.0,695174,871322,1934266,0.0,439,675697,667355.0,5,0.9978
3,Westside Regional Center,,660,3.00%,"$2,000,000 ",19-005,Construction Financing,,,Local Grant,CA-2019-005,,0.09,Vista Ballona,"3960 South Grand View Boulevard, Los Angeles, CA 90066",Los Angeles,90066,,Los Angeles,54.0,30.0,37.0,2723.02,4235026016,Preliminary Reservation,,,New Construction,Large Family,50.0,49.0,0.0,25.0,12.0,13.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,5.0,0.0,26.0,0.0,2.0,Community Corporation of Santa Monica,Victor A. Ansley,"1423 2nd Street, Suite B",Santa Monica,"CA 
",90401.0,3103948487,,Community Corporation of Santa Monica,,,,,COMMUNITY CORPORATION OF SANTA MONICA,Durinda Abraham,"1423 2nd Street, Suite B",Santa Monica,CA,90401,3103948487,,"Community Corporation Of Santa Monica
",2500000.0,,Large Family,50,0.09,Vista Ballona,Los Angeles,90066,Los Angeles,New Construction,New Construction,2500000.0,,33784836,6467545.0,19239873.0,0.0,1745343.0,,,0.0,1286551,1419762,125000.0,695174,871322,1934266,0.0,439,675697,667355.0,5,0.9978
4,Deferred Costs during Construction,,,,"$1,302,412 ",19-005,Construction Financing,,,Deferred Developer Fee,CA-2019-005,,0.09,Vista Ballona,"3960 South Grand View Boulevard, Los Angeles, CA 90066",Los Angeles,90066,,Los Angeles,54.0,30.0,37.0,2723.02,4235026016,Preliminary Reservation,,,New Construction,Large Family,50.0,49.0,0.0,25.0,12.0,13.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,5.0,0.0,26.0,0.0,2.0,Community Corporation of Santa Monica,Victor A. Ansley,"1423 2nd Street, Suite B",Santa Monica,"CA 
",90401.0,3103948487,,Community Corporation of Santa Monica,,,,,COMMUNITY CORPORATION OF SANTA MONICA,Durinda Abraham,"1423 2nd Street, Suite B",Santa Monica,CA,90401,3103948487,,"Community Corporation Of Santa Monica
",2500000.0,,Large Family,50,0.09,Vista Ballona,Los Angeles,90066,Los Angeles,New Construction,New Construction,2500000.0,,33784836,6467545.0,19239873.0,0.0,1745343.0,,,0.0,1286551,1419762,125000.0,695174,871322,1934266,0.0,439,675697,667355.0,5,0.9978
5,Union Bank Permanent  Loan,,24,5.850%,"$2,440,101",19-005,Permanent Financing,,"$174,435",Bank Loan,CA-2019-005,,0.09,Vista Ballona,"3960 South Grand View Boulevard, Los Angeles, CA 90066",Los Angeles,90066,,Los Angeles,54.0,30.0,37.0,2723.02,4235026016,Preliminary Reservation,,,New Construction,Large Family,50.0,49.0,0.0,25.0,12.0,13.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,5.0,0.0,26.0,0.0,2.0,Community Corporation of Santa Monica,Victor A. Ansley,"1423 2nd Street, Suite B",Santa Monica,"CA 
",90401.0,3103948487,,Community Corporation of Santa Monica,,,,,COMMUNITY CORPORATION OF SANTA MONICA,Durinda Abraham,"1423 2nd Street, Suite B",Santa Monica,CA,90401,3103948487,,"Community Corporation Of Santa Monica
",2500000.0,,Large Family,50,0.09,Vista Ballona,Los Angeles,90066,Los Angeles,New Construction,New Construction,2500000.0,,33784836,6467545.0,19239873.0,0.0,1745343.0,,,0.0,1286551,1419762,125000.0,695174,871322,1934266,0.0,439,675697,667355.0,5,0.9978
6,Westside Regional Center,,660,3.000%,"$2,000,000",19-005,Permanent Financing,Deferred,,Local Grant,CA-2019-005,,0.09,Vista Ballona,"3960 South Grand View Boulevard, Los Angeles, CA 90066",Los Angeles,90066,,Los Angeles,54.0,30.0,37.0,2723.02,4235026016,Preliminary Reservation,,,New Construction,Large Family,50.0,49.0,0.0,25.0,12.0,13.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,5.0,0.0,26.0,0.0,2.0,Community Corporation of Santa Monica,Victor A. Ansley,"1423 2nd Street, Suite B",Santa Monica,"CA 
",90401.0,3103948487,,Community Corporation of Santa Monica,,,,,COMMUNITY CORPORATION OF SANTA MONICA,Durinda Abraham,"1423 2nd Street, Suite B",Santa Monica,CA,90401,3103948487,,"Community Corporation Of Santa Monica
",2500000.0,,Large Family,50,0.09,Vista Ballona,Los Angeles,90066,Los Angeles,New Construction,New Construction,2500000.0,,33784836,6467545.0,19239873.0,0.0,1745343.0,,,0.0,1286551,1419762,125000.0,695174,871322,1934266,0.0,439,675697,667355.0,5,0.9978
7,Los Angeles Housing and Community Inve,,504,4.000%,"$3,982,669",19-005,Permanent Financing,Residual,,Local Grant,CA-2019-005,,0.09,Vista Ballona,"3960 South Grand View Boulevard, Los Angeles, CA 90066",Los Angeles,90066,,Los Angeles,54.0,30.0,37.0,2723.02,4235026016,Preliminary Reservation,,,New Construction,Large Family,50.0,49.0,0.0,25.0,12.0,13.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,5.0,0.0,26.0,0.0,2.0,Community Corporation of Santa Monica,Victor A. Ansley,"1423 2nd Street, Suite B",Santa Monica,"CA 
",90401.0,3103948487,,Community Corporation of Santa Monica,,,,,COMMUNITY CORPORATION OF SANTA MONICA,Durinda Abraham,"1423 2nd Street, Suite B",Santa Monica,CA,90401,3103948487,,"Community Corporation Of Santa Monica
",2500000.0,,Large Family,50,0.09,Vista Ballona,Los Angeles,90066,Los Angeles,New Construction,New Construction,2500000.0,,33784836,6467545.0,19239873.0,0.0,1745343.0,,,0.0,1286551,1419762,125000.0,695174,871322,1934266,0.0,439,675697,667355.0,5,0.9978
8,Deferred Developer Fee,,,,"$417,066",19-005,Permanent Financing,Deferred,,Deferred Developer Fee,CA-2019-005,,0.09,Vista Ballona,"3960 South Grand View Boulevard, Los Angeles, CA 90066",Los Angeles,90066,,Los Angeles,54.0,30.0,37.0,2723.02,4235026016,Preliminary Reservation,,,New Construction,Large Family,50.0,49.0,0.0,25.0,12.0,13.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,5.0,0.0,26.0,0.0,2.0,Community Corporation of Santa Monica,Victor A. Ansley,"1423 2nd Street, Suite B",Santa Monica,"CA 
",90401.0,3103948487,,Community Corporation of Santa Monica,,,,,COMMUNITY CORPORATION OF SANTA MONICA,Durinda Abraham,"1423 2nd Street, Suite B",Santa Monica,CA,90401,3103948487,,"Community Corporation Of Santa Monica
",2500000.0,,Large Family,50,0.09,Vista Ballona,Los Angeles,90066,Los Angeles,New Construction,New Construction,2500000.0,,33784836,6467545.0,19239873.0,0.0,1745343.0,,,0.0,1286551,1419762,125000.0,695174,871322,1934266,0.0,439,675697,667355.0,5,0.9978
9,Construction Lender- Wells Fargo Bank,,21,6.00%,"$3,498,366 ",19-006,Construction Financing,,,Bank Loan,CA-2019-006,,0.09,Mariposa Oaks,"5071 Circle Drive, Mariposa, CA 95338",Mariposa,95338,,Mariposa,5.0,8.0,28.0,1.01,013-050-032,Preliminary Reservation,,,Acquisition & Rehabilitation,At-Risk,24.0,23.0,0.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,7.0,1.0,0.0,Self-Help Enterprises,Betsy McGovern-Garcia,8445 W. Elowin Court (Mailing: PO Box 6520),Visalia,CA,93290.0,5598021653,,Self-Help Enterprises,,,,,AWI Management Corporation,Linda Frazier,120 Center Street P.O. Box 550,Auburn,CA,95604,5307456255,,Self-Help Enterprises,494810.0,,At-Risk,24,0.09,Mariposa Oaks,Mariposa,95338,Mariposa,Acquisition & Rehabilitation,Acquisition & Rehabilitation,494810.0,,5894918,1505000.0,0.0,2472000.0,370000.0,,,50000.0,150000,423103,0.0,46532,164442,713840,0.0,136,245622,245622.0,3,0.88818
