,Financing Type,Name of Financing Entity,Amount of Funds,Effective Interest Rate,Term (Months),File Name,Funding Type,Financing_sub_cat,Zip Code,Project Type,Total Units,Total Square Footage,Census Tract,Total Project Cost
26,Deferred Developer Fees,"Woda Cooper Development, Inc./Parallel Housing Inc.",16067,,,canaancrssgg,Construction Financing,Deferred Developer Fee,39837,Family,60,61245,103,13019902
3,Deferred Developer Fees,DASH Development/CRN Development,11779,0,12,waring,Permanent Financing,Deferred Developer Fee,31501,HFOP,40,30438,9505,4067374
14,Deferred Developer Fees,"Prestwick Development Company, LLC",652.6,0,12,symphony,Permanent Financing,Deferred Developer Fee,30310,Family,60,56320,75,12197923.48
21,Deferred Developer Fees,"Lowcountry Housing Communities GA, LLC",1030,0,180,flintridgeg,Permanent Financing,Deferred Developer Fee,31705,Family,54,56900,107,10997504.7
30,Deferred Developer Fees,"Woda Cooper Development, Inc./Parallel Housing Inc.",16067,0,144,canaancrssgg,Permanent Financing,Deferred Developer Fee,39837,Family,60,61245,103,13019902
38,Deferred Developer Fees,Volunteers of America Southeast,55790,0,180,newnancrossg,Permanent Financing,Deferred Developer Fee,30265,HFOP,74,76320,13077170602,14454200
46,Deferred Developer Fees,Prestwick Development Company,614.1,0,12,anthm2,Permanent Financing,Deferred Developer Fee,30331,Elderly,70,78105,103.03,12459752.03
60,Deferred Developer Fees,"TBG Development Services, Inc.",311859,0.03,120,harperwdsg,Permanent Financing,Deferred Developer Fee,31909,Family,96,105167,101.06,16610969
67,Deferred Developer Fees,,5287,0.08,180,hearthsidesmyrnag,Permanent Financing,Deferred Developer Fee,30082,Elderly,75,95444,312.06,14576099
75,Deferred Developer Fees,,360206,0.0275,180,_24east,Permanent Financing,Deferred Developer Fee,30012,HFOP,107,118116,603.04,18358766
91,Deferred Developer Fees,Rea Ventures Group / Brady Development,56937,,,abbgntnormewdpkg,Permanent Financing,Deferred Developer Fee,30316,Family,42,43037,13121005200,9974620
98,Deferred Developer Fees,"Woodstone Apartments II, LP-Deferred Dev. Fee",637,,,woodstone2g,Permanent Financing,Deferred Developer Fee,31763,Family,40,36972,203,5168536
106,Deferred Developer Fees,,10,0,12,creeksideg,Permanent Financing,Deferred Developer Fee,31061,HFOP,60,65906,9703,10472071
113,Deferred Developer Fees,Deferred Developer fee,2315,,,villgchickamauga2g,Permanent Financing,Deferred Developer Fee,30707,HFOP,60,65957,205.01,11798713
119,Deferred Developer Fees,W.H. Gross Construction Company,9703,0,180,liveoaklndg2,Permanent Financing,Deferred Developer Fee,31404,Family,54,56224,13051001100,10703347
128,Deferred Developer Fees,HACG and New Affordable Housing Partners,5836,0,120,millvillageg,Permanent Financing,Deferred Developer Fee,31901,Family,102,99100,16,19201636
136,Deferred Developer Fees,"Piedmont Housing Group, LLC",778,0,180,westoversr,Permanent Financing,Deferred Developer Fee,31707,HFOP,46,48320,204.03,8684197.37
162,Deferred Developer Fees,"Hallmark Development Partners, LLC",268484,0,120,crowvllyhtsg,Permanent Financing,Deferred Developer Fee,30720,Family,80,87762,5.01,14874336
170,Deferred Developer Fees,"Dougherty Housing Developers, LLC",219615,0,180,flintridgedr_g,Permanent Financing,Deferred Developer Fee,31705,Family,54,56900,107,10918744.99
184,Deferred Developer Fees,"Walton Communities, LLC",90510,0,120,waltonharborg,Permanent Financing,Deferred Developer Fee,30501,Family,81,94314,10.03,15135510
193,Deferred Developer Fees,ZPSE / InVictus,343912,0,156,flatssamlaneg,Permanent Financing,Deferred Developer Fee,30736,Family,72,90937,302.01,14673912
202,Deferred Developer Fees,"Integral Development, LLC",1389,,,verandaassemblyg,Permanent Financing,Deferred Developer Fee,30341,HFOP,100,104000,213.01,17094539.6
216,Deferred Developer Fees,"Paladin, Inc",33811,0,180,pineviewtraceg,Permanent Financing,Deferred Developer Fee,31092,Family,50,56040,13093970300,10268471
222,Deferred Developer Fees,"Paladin, Inc",33811,0,180,pineviewtraceg,Permanent Financing,Deferred Developer Fee,31092,Family,50,56040,13093970300,10268471
229,Deferred Developer Fees,"Piedmont Housing Group, LLC",1148,0,180,suttonterrace,Permanent Financing,Deferred Developer Fee,30523,Family,72,68800,2.01,12971964.24
234,Deferred Developer Fees,deferred developer fee,8118,0,12,woodlawnsrvllgg,Permanent Financing,Deferred Developer Fee,31021,HFOP,48,38930,9504,4958118
42,Federal Grant,HAFC Replacement Housing Factor Funds Grant,623000,,,anthm2,Construction Financing,Federal Grant,30331,Elderly,70,78105,103.03,12459752.03
47,Federal Grant,HAFC Replacment Housing Factor Funds Grant,623000,,,anthm2,Permanent Financing,Federal Grant,30331,Elderly,70,78105,103.03,12459752.03
1,Federal Housing Credit Equity,Raymond James Federal Equity,466848,,,waring,Construction Financing,Federal Housing Credit Equity,31501,HFOP,40,30438,9505,4067374
4,Federal Housing Credit Equity,Raymond James Federal Equity,2651735,,,waring,Permanent Financing,Federal Housing Credit Equity,31501,HFOP,40,30438,9505,4067374
9,Federal Housing Credit Equity,SunTrust Community Capital,4563450.51,,,symphony,Construction Financing,Federal Housing Credit Equity,30310,Family,60,56320,75,12197923.48
15,Federal Housing Credit Equity,SunTrust Community Capital,6519215.01,,,symphony,Permanent Financing,Federal Housing Credit Equity,30310,Family,60,56320,75,12197923.48
18,Federal Housing Credit Equity,Affordable Equity Partners,1443792.2,,,flintridgeg,Construction Financing,Federal Housing Credit Equity,31705,Family,54,56900,107,10997504.7
22,Federal Housing Credit Equity,Affordable Equity Partners,7218961,,,flintridgeg,Permanent Financing,Federal Housing Credit Equity,31705,Family,54,56900,107,10997504.7
27,Federal Housing Credit Equity,SunTrust Community Capital,746925,,,canaancrssgg,Construction Financing,Federal Housing Credit Equity,39837,Family,60,61245,103,13019902
31,Federal Housing Credit Equity,SunTrust Community Capital,7469253,,,canaancrssgg,Permanent Financing,Federal Housing Credit Equity,39837,Family,60,61245,103,13019902
35,Federal Housing Credit Equity,"Affordable Equity Partners, Inc",1682660,,,newnancrossg,Construction Financing,Federal Housing Credit Equity,30265,HFOP,74,76320,13077170602,14454200
39,Federal Housing Credit Equity,"Affordable Equity Partners, Inc",8413300,,,newnancrossg,Permanent Financing,Federal Housing Credit Equity,30265,HFOP,74,76320,13077170602,14454200
43,Federal Housing Credit Equity,SunTrust Community Capital,3987964,,,anthm2,Construction Financing,Federal Housing Credit Equity,30331,Elderly,70,78105,103.03,12459752.03
48,Federal Housing Credit Equity,SunTrust Community Capital,6135331,,,anthm2,Permanent Financing,Federal Housing Credit Equity,30331,Elderly,70,78105,103.03,12459752.03
54,Federal Housing Credit Equity,,7552521,,,havensatlantag,Permanent Financing,Federal Housing Credit Equity,30315,Family,84,77620,67,15872847
57,Federal Housing Credit Equity,RBC Capital,1762022,,,harperwdsg,Construction Financing,Federal Housing Credit Equity,31909,Family,96,105167,101.06,16610969
61,Federal Housing Credit Equity,"RBC Tax Credit Equity, LLC",8810110,,,harperwdsg,Permanent Financing,Federal Housing Credit Equity,31909,Family,96,105167,101.06,16610969
64,Federal Housing Credit Equity,RBC Capital Markets,4710409,,,hearthsidesmyrnag,Construction Financing,Federal Housing Credit Equity,30082,Elderly,75,95444,312.06,14576099
68,Federal Housing Credit Equity,RBC Capital Markets,7850682,,,hearthsidesmyrnag,Permanent Financing,Federal Housing Credit Equity,30082,Elderly,75,95444,312.06,14576099
71,Federal Housing Credit Equity,TBD - Regions,1742224,,,_24east,Construction Financing,Federal Housing Credit Equity,30012,HFOP,107,118116,603.04,18358766
76,Federal Housing Credit Equity,TBD - Regions,8711120,,,_24east,Permanent Financing,Federal Housing Credit Equity,30012,HFOP,107,118116,603.04,18358766
79,Federal Housing Credit Equity,RBC Capital Partners,5148000,,,wrredev2g,Construction Financing,Federal Housing Credit Equity,31088,Family,90,84736,207,15870000
82,Federal Housing Credit Equity,RBC Capital Markets,7920000,,,wrredev2g,Permanent Financing,Federal Housing Credit Equity,31088,Family,90,84736,207,15870000
86,Federal Housing Credit Equity,Federal Investor - Churchill Stateside,3583333,,,abbgntnormewdpkg,Construction Financing,Federal Housing Credit Equity,30316,Family,42,43037,13121005200,9974620
92,Federal Housing Credit Equity,Federal Investor - Churchill Stateside,5512819,,,abbgntnormewdpkg,Permanent Financing,Federal Housing Credit Equity,30316,Family,42,43037,13121005200,9974620
96,Federal Housing Credit Equity,Regions Bank,775000,,,woodstone2g,Construction Financing,Federal Housing Credit Equity,31763,Family,40,36972,203,5168536
99,Federal Housing Credit Equity,Regions Bank & Sugar Creek,3174322,,,woodstone2g,Permanent Financing,Federal Housing Credit Equity,31763,Family,40,36972,203,5168536
103,Federal Housing Credit Equity,Raymond James,1275012,,,creeksideg,Construction Financing,Federal Housing Credit Equity,31061,HFOP,60,65906,9703,10472071
107,Federal Housing Credit Equity,Raymond James,6375062,,,creeksideg,Permanent Financing,Federal Housing Credit Equity,31061,HFOP,60,65906,9703,10472071
110,Federal Housing Credit Equity,Raymond James,5540571,,,villgchickamauga2g,Construction Financing,Federal Housing Credit Equity,30707,HFOP,60,65957,205.01,11798713
114,Federal Housing Credit Equity,Raymond James,6611791,,,villgchickamauga2g,Permanent Financing,Federal Housing Credit Equity,30707,HFOP,60,65957,205.01,11798713
117,Federal Housing Credit Equity,Affordable Equity Partners,1451294,,,liveoaklndg2,Construction Financing,Federal Housing Credit Equity,31404,Family,54,56224,13051001100,10703347
120,Federal Housing Credit Equity,Affordable Equity Partners,7256471,,,liveoaklndg2,Permanent Financing,Federal Housing Credit Equity,31404,Family,54,56224,13051001100,10703347
124,Federal Housing Credit Equity,SunTrust Community Capital,1314090,,,millvillageg,Construction Financing,Federal Housing Credit Equity,31901,Family,102,99100,16,19201636
129,Federal Housing Credit Equity,SunTrust Community Capital,8760600,,,millvillageg,Permanent Financing,Federal Housing Credit Equity,31901,Family,102,99100,16,19201636
133,Federal Housing Credit Equity,Affordable Equity Partners,1071804.6,,,westoversr,Construction Financing,Federal Housing Credit Equity,31707,HFOP,46,48320,204.03,8684197.37
137,Federal Housing Credit Equity,Affordable Equity Partners,5359023,,,westoversr,Permanent Financing,Federal Housing Credit Equity,31707,HFOP,46,48320,204.03,8684197.37
142,Federal Housing Credit Equity,SunTrust (Federal Equity),2790000,,,thriveswtauburng,Construction Financing,Federal Housing Credit Equity,30312,Family,117,118555,119,19311237
