,id,state,units_n,con_type,status,loi_date,closedate,concomdate,stabdate,totalcost,hardcost,sources_n,df,yr_pis
0,1.0,CA,136.0,New Construction,Stabilized,7/31/06,4/19/07,9/11/09,10/1/10,"$69,809,586 ","$56,003,771 ",4.0,g,2009
1,2.0,CA,137.0,Rehab,Stabilized,9/5/14,12/19/14,5/30/18,1/0/00,"$39,190,669 ","$28,046,114 ",7.0,g,2018
2,3.0,CA,107.0,New Construction,Stabilized,3/10/08,6/1/08,7/19/10,4/1/11,"$49,178,710 ","$35,056,858 ",3.0,g,2010
3,4.0,TX,142.0,New Construction,Stabilized,1/22/08,8/1/08,7/1/10,1/31/12,"$21,037,569 ","$14,034,624 ",4.0,g,2010
4,5.0,TX,240.0,New Construction,Stabilized,4/27/15,12/18/15,11/6/17,2/1/19,"$39,964,744 ","$27,196,160 ",4.0,g,2017
5,6.0,CA,93.0,New Construction,Pre-stabilized,10/14/14,3/6/15,4/4/17,,"$65,447,993 ","$46,713,944 ",4.0,g,2017
6,7.0,CA,91.0,New Construction,Pre-stabilized,10/14/14,3/6/15,4/25/17,,"$64,919,369 ","$45,934,201 ",4.0,g,2017
7,8.0,CA,82.0,New Construction,Pre-stabilized,9/9/15,2/26/16,11/20/17,,"$59,647,486 ","$39,670,400 ",4.0,g,2017
8,9.0,CA,40.0,New Construction,Pre-stabilized,9/9/15,2/26/16,11/20/17,,"$35,409,554 ","$23,940,900 ",3.0,g,2017
9,10.0,CA,31.0,New Construction,Operational,4/14/17,8/9/17,2/11/19,,,"$19,755,582 ",3.0,g,2019
10,11.0,CA,94.0,New Construction,Stabilized,6/27/08,10/31/08,6/18/10,1/1/11,"$30,378,345 ","$18,555,807 ",4.0,g,2010
11,12.0,TX,80.0,New Construction,Stabilized,8/16/05,6/26/06,7/13/07,12/1/08,"$7,889,074 ","$5,745,997 ",4.0,g,2007
12,13.0,TX,126.0,New Construction,Stabilized,12/11/15,5/11/16,10/4/17,1/1/19,"$23,514,344 ","$14,570,168 ",4.0,g,2017
13,14.0,NY,60.0,Rehab,Stabilized,,5/1/06,9/26/07,6/30/08,"$18,013,771 ","$11,649,516 ",6.0,g,2007
14,15.0,TX,80.0,New Construction,Stabilized,11/2/11,6/28/12,12/19/13,7/1/14,"$10,466,510 ","$7,450,595 ",2.0,g,2013
15,16.0,CA,36.0,Rehab - TIP,Stabilized,7/7/16,11/23/16,11/21/17,1/1/19,"$9,026,018 ","$2,608,057 ",2.0,g,2017
16,17.0,TX,114.0,New Construction,Construction,12/19/18,9/27/19,,,,"$12,129,521 ",3.0,g,
17,18.0,TX,81.0,New Construction,Construction,7/11/18,10/31/18,,,,"$9,768,000 ",2.0,g,
18,19.0,TX,140.0,New Construction,Stabilized,12/6/12,12/31/12,7/9/13,5/1/14,"$19,567,496 ","$12,586,179 ",1.0,g,2013
19,20.0,TX,56.0,New Construction,Stabilized,8/26/13,3/7/14,4/1/15,12/1/16,"$7,508,301 ","$5,155,957 ",4.0,g,2015
20,21.0,CA,51.0,Rehab,Stabilized,8/14/06,10/1/05,8/28/08,10/31/10,"$19,329,339 ","$6,334,906 ",5.0,g,2008
21,22.0,TX,80.0,New Construction,Stabilized,7/10/14,12/23/14,7/31/16,11/1/17,"$12,520,468 ","$7,448,546 ",3.0,g,2016
