,id,units_n,city,state,zipcode,tpop,con_type,sqft_rent,equity_net,totalcost,hardcost,sources_n,source1type,source1,source2type,source2,source3type,source3,source4type,source4,source5type,source5,source6type,source6,source7type,source7,source8type,source8,source9type,source9,source10type,source10,source11type,source11,loi_date,closedate,con_stdate,concomdate,stabdate,df,yr_pis
0,1,98,San Juan,PR,920,Elderly,New," 39,095 "," $11,759,150 "," $16,715,361 ",,4,LIHTC Equity," $11,759,150 ",City of San Juan," $1,665,000 ",Sponsor Loan (HOME)," $3,244,181 ",Deferred Fee," $47,030 ",,,,,,,,,,,,,,,,06/23/14,10/06/13,09/04/15,11/20/15,i,2015
1,2,100,Jacksonville,IL,62650,Elderly,Rehab-Around," 51,400 "," $4,283,134 "," $8,541,173 ",,8,USA Institutional Fund," $4,431,489 ",IHDA GO Loan," $1,575,000 ",IHDA HOME Funds," $1,340,000 ",LHD Trust Fund Loan," $280,594 ",GP Contribution (existing reserves)," $280,670 ",GP Contribution (energy grant)," $256,000 ",Income from Operations," $100,000 ",Deferred Developer Note," $277,420 ",,,,,,,,04/17/14,04/08/14,12/31/14,01/31/15,i,2014
2,3,80,Bronx,NY,10456,SRO,New," 21,730 "," $12,046,454 "," $22,461,237 ",,3,LIHTC Equity," $12,546,454 ",HPD," $8,800,000 ",Sponsor Loan," $1,114,783 ",,,,,,,,,,,,,,,,,,11/26/12,08/17/12,08/29/14,05/31/15,i,2014
3,4,136,San Diego,CA,92101,Family,New," 117,762 "," $25,026,397 "," $73,044,023 ",,8,Net Equity to Local," $26,457,076 ",1st Mortgage (Tax Exempt Bonds)," $3,010,000 ",MHP," $10,000,000 ",GP Land Contribution," $8,000,000 ",SVDP Capital Contribution (AHP)," $1,000,000 ",SVDP Capital Contribution (BPV)," $20,244,757 ",SVDP Capital Contribution," $3,082,190 ",Deferred Developer Fee," $1,250,000 ",,,,,,,,06/19/07,12/20/07,01/30/09,04/27/09,i,2009
4,5,65,New York,NY,10039,Elderly,New," 40,000 "," $8,016,542 "," $23,949,900 ",,5,LIHTC Equity," $8,278,200 ",HUD 202 via Lender Corp," $9,308,400 ",DHCR TCAP," $4,438,019 ",Federal Home Loan Bank via Lender Corp," $1,280,000 ","HUD Predevelopment, Home Depot, Enterprise, and NYSERDA via Lender Corp"," $645,281 ",,,,,,,,,,,,,,03/24/10,03/24/10,10/28/11,11/23/11,i,2011
5,6,27,New York,NY,10027,Family,New," 20,257 "," $4,632,399 "," $7,931,776 ",,4,Net Equity to Local Partnership," $4,632,399 ",Chase 1st Mortgage," $250,000 ",HDFC 421-a Loan," $2,556,250 ",Deferred Developers Fee," $493,127 ",,,,,,,,,,,,,,,,06/01/07,06/28/07,09/12/08,05/29/09,i,2008
6,7,90,Minneapolis,MN,55404,Family,Rehab-Around," 55,090 "," $2,366,577 "," $7,292,380 ",,11,Net Equity," $2,209,582 ",US Bank A Note Bonds," $1,438,495 ",US Bank B Note IRP Bonds," $949,600 ",US Bank C Note Bridge," $861,905 ",MHFA PARIF Loan - 2nd Mortgage," $450,000 ",City of Minneapolis - 3rd Mortgage," $300,000 ",VOA Hennepin County AHIF - 4th Mortgage," $400,000 ",VOU US Bank AHP  - 5th Mortgage," $500,000 ",Imputed Interest / Capitalized Expenses," $132,514 ",Interim Income," $50,001 ",Deferred Developer Fee, $283 ,,08/11/06,05/03/06,12/31/06,12/31/06,i,2006
7,8,44,New York,NY,10032,Family,New," 24,594 "," $5,665,251 "," $11,954,251 ",,3,Net Equity to Fund LIHTC," $6,174,251 ",HPD SHLP + City Capital," $5,280,000 ",Reso A," $500,000 ",,,,,,,,,,,,,,,,,,11/26/12,08/28/12,07/14/15,12/30/15,i,2015
8,9,46,Brooklyn,NY,11205,SRO,New," 25,302 "," $6,404,529 "," $12,696,794 ",,4,Net Equity to Fund LIHTC ," $6,404,529 ",HPD SHLP," $4,925,851 ",HPD SHLP (City Council + BP Reso A)," $750,000 ",Deferred Developer Fee," $616,414 ",,,,,,,,,,,,,,,,06/16/11,06/16/11,01/30/13,07/30/13,i,2013
9,10,24,San Diego,CA,92104,Family,New,," $3,682,916 "," $10,908,411 ",,8,Net Equity to Local," $3,702,236 ",1st Mortgage (MHP)," $2,081,535 ",2nd Mortgage (San Diego Redevelopment Agency)," $2,400,000 ",3rd Mortgage (San Diego Housing Commission)," $600,000 ",SVDP Capital Contribution (Affordable Housing Program)," $360,000 ",SVDP Capital Contribution," $154,640 ",SVDP Capital Contribution (HUD NOFA)," $400,000 ",GP Land Contribution," $1,210,000 ",,,,,,,,09/29/08,05/08/08,04/20/09,05/01/09,i,2009
